Episode,A3C_Score,A2C_Score,ACER_Score
1,20.0,26.0,30.0
2,28.0,14.0,40.0
3,10.0,16.0,24.0
4,34.0,25.0,29.0
5,16.0,15.0,24.0
6,66.0,11.0,13.0
7,27.0,14.0,19.0
8,12.0,31.0,12.0
9,23.0,20.0,18.0
10,17.0,15.0,68.0
11,12.0,12.0,10.0
12,77.0,16.0,9.0
13,44.0,13.0,11.0
14,16.0,21.0,33.0
15,30.0,16.0,23.0
16,30.0,28.0,19.0
17,15.0,17.0,17.0
18,28.0,17.0,21.0
19,12.0,9.0,14.0
20,18.0,13.0,28.0
21,14.0,11.0,17.0
22,24.0,42.0,15.0
23,37.0,18.0,10.0
24,20.0,22.0,10.0
25,10.0,18.0,12.0
26,21.0,13.0,10.0
27,12.0,15.0,13.0
28,28.0,25.0,19.0
29,22.0,24.0,19.0
30,14.0,18.0,18.0
31,10.0,25.0,13.0
32,13.0,15.0,9.0
33,18.0,16.0,20.0
34,23.0,28.0,12.0
35,14.0,35.0,24.0
36,26.0,14.0,12.0
37,11.0,9.0,19.0
38,51.0,30.0,88.0
39,45.0,25.0,29.0
40,28.0,10.0,30.0
41,15.0,15.0,30.0
42,20.0,16.0,16.0
43,17.0,13.0,32.0
44,27.0,39.0,35.0
45,14.0,10.0,13.0
46,28.0,50.0,25.0
47,26.0,37.0,29.0
48,22.0,17.0,14.0
49,17.0,14.0,24.0
50,16.0,13.0,19.0
51,14.0,18.0,15.0
52,36.0,13.0,28.0
53,17.0,36.0,43.0
54,19.0,14.0,33.0
55,54.0,25.0,43.0
56,35.0,18.0,15.0
57,14.0,15.0,28.0
58,16.0,49.0,39.0
59,40.0,11.0,36.0
60,14.0,32.0,33.0
61,12.0,17.0,26.0
62,17.0,16.0,59.0
63,13.0,20.0,45.0
64,30.0,26.0,31.0
65,15.0,20.0,15.0
66,14.0,36.0,23.0
67,12.0,15.0,41.0
68,18.0,15.0,19.0
69,14.0,32.0,33.0
70,13.0,17.0,22.0
71,16.0,11.0,15.0
72,17.0,18.0,18.0
73,42.0,38.0,34.0
74,17.0,15.0,13.0
75,24.0,18.0,15.0
76,26.0,43.0,41.0
77,22.0,20.0,24.0
78,13.0,16.0,11.0
79,11.0,11.0,11.0
80,75.0,23.0,29.0
81,33.0,30.0,10.0
82,21.0,29.0,15.0
83,11.0,21.0,13.0
84,11.0,11.0,15.0
85,21.0,25.0,31.0
86,31.0,16.0,12.0
87,23.0,32.0,15.0
88,11.0,22.0,18.0
89,14.0,17.0,20.0
90,22.0,18.0,14.0
91,78.0,23.0,10.0
92,11.0,14.0,18.0
93,20.0,16.0,36.0
94,9.0,23.0,23.0
95,22.0,22.0,11.0
96,61.0,16.0,12.0
97,11.0,29.0,18.0
98,28.0,17.0,10.0
99,30.0,12.0,31.0
100,28.0,28.0,15.0
101,37.0,18.0,21.0
